公司名,工商注册级别,注册地址变更信息,增资情况,股权变动,控股,成立年限,注册专业人员信息,法定代表人稳定性,对外投资,所处行业地位,企业规模,工程获奖情况,公共信用记录,工程领域不良记录(严重),工程领域不良记录(一般),法院信用记录,中标数量,主要市场区域,项目规模,主项资质,增项资质,知识产权情况,财务,社会评价,信用评分
浙江上下电梯股份有限公司,2,0,0,0,3,0,0,0,,0,0,0,0,0,0,0,12,3,5,0,0,0,0,9,358
浙江天合路桥有限公司,2,0,0,0,3,17,26,0,,0,3,0,0,0,0,0,12,0,4,3,5,0,0,0,552
浙江银湖建设有限公司,2,0,0,0,0,13,29,0,,0,2,0,0,0,6,0,12,3,2,2,7,0,0,0,397
浙江建邦市政工程有限公司,2,0,0,0,3,13,8,0,2,0,4,0,0,0,0,0,11,3,0,4,1,0,0,0,515
浙江联众建设有限公司,2,0,0,0,3,15,15,0,,0,3,0,0,0,1,0,11,3,0,3,3,0,0,7,527
浙江海林建设有限公司,2,0,0,0,3,11,13,0,,0,3,0,0,0,0,0,11,0,0,3,3,0,0,0,517
浙江大自然园艺有限公司,2,0,0,0,3,25,9,0,1,0,2,0,0,0,0,0,14,0,1,2,2,0,0,1,539
浙江兴和建筑工程有限公司,2,0,0,0,3,15,15,0,,0,3,0,0,2,1,0,11,3,0,3,1,0,0,0,482
浙江闽江空调设备有限公司,2,0,0,0,3,14,13,0,,0,3,0,0,0,1,0,10,3,0,3,1,0,0,0,507
浙江中桥建设有限公司,2,0,0,0,3,0,10,0,1,0,3,0,0,0,0,0,10,1,0,3,6,0,0,4,550
浙江华丰管业有限公司,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,283
浙江晨光电缆股份有限公司,2,0,0,0,3,12,0,0,,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,298
浙江文华建设有限公司,2,0,0,0,3,0,5,0,,0,4,0,0,0,0,0,10,3,0,4,1,0,0,10,558
浙江浙东建设有限公司,2,0,0,0,2,23,30,0,,0,2,0,0,0,0,0,11,3,1,2,2,0,0,6,549
浙江大华技术股份有限公司,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,304
浙江斯帝特新能源有限公司,2,0,0,0,0,13,0,0,,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,288
浙江网新恩普软件有限公司,2,0,0,0,1,19,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,1,0,10,389
浙江舜建设有限公司,2,0,0,0,3,14,0,0,,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,298
浙江开关厂有限公司,2,0,0,0,1,17,0,0,,0,0,0,0,0,0,0,9,0,0,0,0,5,0,10,413
浙江富安莱建设有限公司,2,0,0,0,3,0,10,0,,0,3,0,0,0,1,0,9,3,0,3,5,0,0,0,517
浙江索福工贸有限公司,2,0,0,0,0,14,0,0,,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,288
浙江创新建设有限公司,2,0,0,0,3,0,13,0,,0,4,0,0,0,0,0,9,1,1,4,2,0,0,0,528
浙江领航市政工程有限公司,2,0,0,0,3,18,13,0,,0,4,0,0,0,0,0,14,2,1,4,3,5,0,0,591
浙江海航建设有限公司,2,0,0,0,3,0,9,0,,0,3,0,0,0,0,0,13,3,0,3,3,0,0,0,521
浙江上风实业股份有限公司,2,0,0,0,0,16,0,0,,0,0,0,0,0,0,0,9,3,2,0,0,0,0,0,288
浙江爱嘉机电设备有限公司,2,0,0,0,3,0,0,0,,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,285
浙江艾耐特机械有限公司,2,0,0,0,2,15,0,0,,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,293
浙江八方电信有限公司,2,0,0,0,1,20,22,0,6,0,3,0,0,0,1,0,13,1,1,3,2,38,0,7,650
浙江快速电梯有限公司,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9,1,1,0,0,20,0,10,411
浙江亿邦钢构制造有限公司,2,0,0,0,3,15,4,0,,0,3,0,0,0,0,0,9,3,0,3,1,0,0,0,507
浙江五一建设有限公司,2,0,0,0,3,16,19,0,1,0,3,0,0,0,1,0,8,3,1,3,3,0,0,10,549
浙江飞鱼实业有限公司,2,0,0,0,0,21,0,0,2,0,0,0,0,0,0,0,7,3,0,0,0,0,0,8,322
浙江富士通电梯有限公司,2,0,0,0,3,13,0,0,,0,0,0,0,0,0,0,8,3,0,0,0,0,0,10,338
浙江东城建筑工程有限公司,2,0,0,0,3,16,26,0,,0,3,0,0,0,3,0,7,1,2,3,4,0,0,1,492
浙江水力建设有限公司,2,0,0,0,3,0,2,0,,0,4,0,0,0,0,0,7,3,0,4,1,0,0,4,497
浙江万马股份有限公司,2,0,0,0,1,21,0,0,14,0,0,0,0,0,0,0,10,3,1,0,0,29,0,10,433
浙江威斯汀电梯有限公司,2,0,0,0,3,0,0,0,,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,286
浙江启程建设有限公司,2,0,0,0,3,0,12,0,,0,3,0,0,0,2,0,13,3,2,3,4,0,0,2,472
浙江三联建设有限公司,2,0,0,0,3,18,0,0,1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,10,340
浙江海蓝建设有限公司,2,0,0,0,3,19,15,0,1,0,2,0,0,0,0,0,7,3,0,2,4,0,0,8,546
浙江屹立电梯有限公司,2,0,0,0,3,18,0,0,,0,0,0,0,0,0,0,6,3,0,0,0,4,0,1,353
浙江圣洁建设有限公司,2,0,0,0,3,0,3,0,1,0,4,0,0,0,0,0,6,3,0,4,1,0,0,0,478
浙江弘毅建设有限公司,2,0,0,0,0,0,21,0,,0,3,0,0,0,0,0,9,0,4,3,7,0,0,0,522
浙江金盾风机股份有限公司,2,0,0,0,2,12,0,0,,0,0,0,0,0,0,0,7,3,1,0,0,5,0,10,413
浙江国星钢构有限公司,2,0,0,0,0,20,8,0,,0,2,0,0,0,0,0,7,0,0,2,2,0,0,0,527
浙江红海建设有限公司,2,0,0,0,3,11,20,0,,0,3,0,0,0,0,0,27,3,1,3,6,0,0,1,547
浙江正大钢结构有限公司,2,0,0,0,3,15,3,0,2,0,3,0,0,0,0,0,5,3,0,3,1,0,0,1,516
浙江南华电器有限公司,2,0,0,0,3,0,0,0,,0,0,0,0,0,0,0,5,3,1,0,0,0,0,2,307
